EMD,EMD_error,trial_index,arm_name,filters_1,kernel_1,pooling_1,stride_1,learning_rate,batch_size,trial_status,generation_method,units_1,units_2,OPs,info
1.686,0.531,58,58_0,8,3,True,1,0.0299823836460857,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
1.686,0.531,59,59_0,8,3,True,1,0.0299775289556502,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
1.686,0.531,60,60_0,8,3,True,1,0.0299762497460359,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
1.686,0.531,61,61_0,8,3,True,1,0.0296700823959842,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
1.686,0.531,62,62_0,8,3,True,1,0.0296540170465773,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
1.686,0.531,63,63_0,8,3,True,1,0.029635211817777,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
1.686,0.531,64,64_0,8,3,True,1,0.0296293692421597,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
1.585,0.523,65,65_0,32,5,False,4,0.0698598804330509,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,66,66_0,32,5,False,4,0.0679403364599954,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,67,67_0,32,5,False,4,0.068127690147331,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,68,68_0,32,5,False,4,0.0680475923513413,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,69,69_0,32,5,False,4,0.0678136230104,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,70,70_0,32,5,False,4,0.0679723440882251,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,71,71_0,32,5,False,4,0.067639644173215,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,72,72_0,32,5,False,4,0.0680437437469979,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,73,73_0,32,5,False,4,0.06798073566417,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,74,74_0,32,5,False,4,0.0682579342152873,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,75,75_0,32,5,False,4,0.0680752902929102,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,76,76_0,32,5,False,4,0.068331727810952,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,77,77_0,32,5,False,4,0.0678535752435058,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,78,78_0,32,5,False,4,0.0680000708568103,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,79,79_0,32,5,False,4,0.067611081420911,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,80,80_0,32,5,False,4,0.0679682844700496,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,81,81_0,32,5,False,4,0.0683670542895334,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,82,82_0,32,5,False,4,0.0682674420920719,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,83,83_0,32,5,False,4,0.0680431012980294,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,84,84_0,32,5,False,4,0.0681099775036833,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,85,85_0,32,5,False,4,0.0683121239557577,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,86,86_0,32,5,False,4,0.0683358926933501,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,87,87_0,32,5,False,4,0.0682630657266933,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,88,88_0,32,5,False,4,0.0682269399241474,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,89,89_0,32,5,False,4,0.0682590383757477,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,90,90_0,32,5,False,4,0.0681701175239738,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,91,91_0,32,5,False,4,0.0678815556427691,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,92,92_0,32,5,False,4,0.0680971995619295,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,93,93_0,32,5,False,4,0.0680498294523232,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
