EMD,EMD_error,trial_index,arm_name,filters_1,kernel_1,pooling_1,stride_1,filters_2,kernel_2,pooling_2,stride_2,units_1,trial_status,generation_method,units_2,units_3,filters_3,kernel_3,pooling_3,stride_3,OPs,info
2.161,1.191,0,0_0,54,3,FALSE,4,23,1,TRUE,4,,COMPLETED,Sobol,,,,,,,7671,"C: [54, 23], K: [3, 1], P: ['FALSE', 'TRUE'], S: [4, 4], D: []"
2.165,1.18,5,5_0,47,3,FALSE,4,,,,,,COMPLETED,Sobol,,,,,,,5280,"C: [47], K: [3], P: ['FALSE'], S: [4], D: []"
2.169,0.736,0,0_0,42,3,FALSE,1,48,1,TRUE,2,,COMPLETED,Sobol,,,53,3,TRUE,1,118041,"C: [42, 48, 53], K: [3, 1, 3], P: ['FALSE', 'TRUE', 'TRUE'], S: [1, 2, 1], D: []"
2.194,1.199,2,2_0,40,3,FALSE,4,42,1,TRUE,4,,COMPLETED,Sobol,,,,,,,8130,"C: [40, 42], K: [3, 1], P: ['FALSE', 'TRUE'], S: [4, 4], D: []"
2.209,0.764,2,2_0,,,,,,,,,35,COMPLETED,Sobol,37,47,,,,,12187,"C: [], K: [3], P: [], S: [], D: [35, 37, 47]"
2.227,0.761,6,6_0,,,,,,,,,38,COMPLETED,GPEI,40,38,,,,,12292,"C: [], K: [3], P: [], S: [], D: [38, 40, 38]"
2.227,0.734,6,6_0,39,3,TRUE,1,9,3,TRUE,2,31,COMPLETED,Sobol,38,,,,,,79479,"C: [39, 9], K: [3, 3], P: ['TRUE', 'TRUE'], S: [1, 2], D: [31, 38]"
2.233,0.796,1,1_0,35,3,FALSE,2,16,3,FALSE,4,,COMPLETED,Sobol,,,,,,,21888,"C: [35, 16], K: [3, 3], P: ['FALSE', 'FALSE'], S: [2, 4], D: []"
2.241,0.722,0,0_0,12,3,TRUE,2,36,3,FALSE,2,48,COMPLETED,Sobol,21,,50,5,TRUE,2,109619,"C: [12, 36, 50], K: [3, 3, 5], P: ['TRUE', 'FALSE', 'TRUE'], S: [2, 2, 2], D: [48, 21]"
2.252,0.749,3,3_0,,,,,,,,,47,COMPLETED,Sobol,36,41,,,,,13804,"C: [], K: [3], P: [], S: [], D: [47, 36, 41]"
2.269,0.958,3,3_0,48,5,TRUE,4,38,5,TRUE,2,31,COMPLETED,Sobol,56,,50,5,FALSE,4,205091,"C: [48, 38, 50], K: [5, 5, 5], P: ['TRUE', 'TRUE', 'FALSE'], S: [4, 2, 4], D: [31, 56]"
2.296,0.854,5,5_0,,,,,,,,,47,COMPLETED,Sobol,36,31,,,,,12754,"C: [], K: [3], P: [], S: [], D: [47, 36, 31]"
2.31,0.804,4,4_0,,,,,,,,,58,COMPLETED,Sobol,,,,,,,9354,"C: [], K: [3], P: [], S: [], D: [58]"
2.351,0.803,0,0_0,,,,,,,,,29,COMPLETED,Sobol,,,,,,,4685,"C: [], K: [3], P: [], S: [], D: [29]"
2.353,1.15,9,9_0,21,3,FALSE,4,43,3,TRUE,4,26,COMPLETED,Sobol,,,26,3,FALSE,1,40629,"C: [21, 43, 26], K: [3, 3, 3], P: ['FALSE', 'TRUE', 'FALSE'], S: [4, 4, 1], D: [26]"
2.391,0.757,7,7_0,,,,,,,,,35,COMPLETED,GPEI,,,,,,,5651,"C: [], K: [3], P: [], S: [], D: [35]"
2.397,1.157,0,0_0,12,3,FALSE,4,,,,,53,COMPLETED,Sobol,,,,,,,3997,"C: [12], K: [3], P: ['FALSE'], S: [4], D: [53]"
2.401,0.781,3,3_0,59,3,TRUE,2,8,3,FALSE,2,,COMPLETED,Sobol,,,,,,,27688,"C: [59, 8], K: [3, 3], P: ['TRUE', 'FALSE'], S: [2, 2], D: []"
2.409,1.117,1,1_0,14,3,FALSE,4,48,5,FALSE,4,47,COMPLETED,Sobol,,,8,5,FALSE,1,56519,"C: [14, 48, 8], K: [3, 5, 5], P: ['FALSE', 'FALSE', 'FALSE'], S: [4, 4, 1], D: [47]"
2.414,0.796,7,7_0,,,,,,,,,35,COMPLETED,GPEI,36,36,,,,,10867,"C: [], K: [3], P: [], S: [], D: [35, 36, 36]"
2.425,1.117,4,4_0,22,3,FALSE,4,50,5,TRUE,1,19,COMPLETED,Sobol,,,,,,,59553,"C: [22, 50], K: [3, 5], P: ['FALSE', 'TRUE'], S: [4, 1], D: [19]"
2.463,1.136,8,8_0,45,3,FALSE,4,25,5,TRUE,2,20,COMPLETED,Sobol,50,62,60,5,TRUE,4,148007,"C: [45, 25, 60], K: [3, 5, 5], P: ['FALSE', 'TRUE', 'TRUE'], S: [4, 2, 4], D: [20, 50, 62]"
